ml_egap_type,ml_egap,ml_energy_per_atom,ml_ael_bulk_modulus_vrh,ml_ael_shear_modulus_vrh,ml_agl_debye,ml_agl_heat_capacity_Cp_300K,ml_agl_heat_capacity_Cp_300K_per_atom,ml_agl_heat_capacity_Cv_300K,ml_agl_heat_capacity_Cv_300K_per_atom,ml_agl_thermal_conductivity_300K,ml_agl_thermal_expansion_300K,full_formula,material_id
Insulator,0.971,-5.811,119.546,108.244,623.251,26.388,2.535,26.379,2.4290000000000003,3.1510000000000002,6.0899999999999996e-05,Mn2P8,mp-487
Insulator,1.81,-4.405,29.448,15.977,289.925,51.068999999999996,2.9739999999999998,50.405,2.8169999999999997,2.46,6.071e-05,As8S10,mp-502
Insulator,0.207,-4.4910000000000005,30.146,24.323,214.392,109.54700000000001,3.063,104.476,2.904,2.6460000000000004,5.247e-05,Ba6As28,mp-524
Insulator,2.082,-4.118,49.455,29.717,360.555,24.424,2.9019999999999997,23.68,2.755,2.381,6.103e-05,Ga4S6,mp-539
Metal,0.0,-5.699,70.976,21.318,152.724,41.353,3.076,40.715,2.949,2.7119999999999997,5.211e-05,Th6Sb8,mp-552
Insulator,2.799,-5.296,115.639,33.659,396.591,32.95,2.847,32.148,2.764,2.588,5.993e-05,Te4O8,mp-557
Insulator,2.457,-7.712000000000001,353.286,322.245,1630.415,16.598,1.023,16.191,0.9520000000000001,3.1639999999999997,8.262e-05,C6N8,mp-563
Insulator,4.982,-4.548,78.531,47.486999999999995,481.12699999999995,20.715,2.7769999999999997,20.605999999999998,2.6710000000000003,3.662,6.265e-05,Ga2F6,mp-588
Insulator,0.8440000000000001,-4.83,53.016000000000005,29.456,191.60299999999998,17.583,2.9760000000000004,17.204,2.8789999999999996,3.0669999999999997,5.44e-05,Te4Mo2,mp-602
Insulator,2.273,-8.533999999999999,174.17700000000002,95.46700000000001,593.565,33.964,2.499,34.946999999999996,2.408,2.826,6.035e-05,Nb4O10,mp-604
Insulator,2.431,-4.803,24.268,15.989,377.50300000000004,40.773,2.841,40.201,2.72,2.8139999999999996,6.982e-05,P8S8,mp-612
Insulator,1.97,-4.688,170.1,61.286,359.181,8.881,2.873,8.775,2.775,2.9939999999999998,5.923e-05,Pt1O2,mp-617
Insulator,1.754,-6.335,189.82,139.382,1009.0239999999999,24.537,1.926,23.424,1.9140000000000001,3.64,6.108e-05,B12As2,mp-624
Insulator,1.504,-2.151,45.917,10.515,140.156,17.457,3.15,16.965,2.98,2.477,5.22e-05,Hg3S3,mp-634
Insulator,1.713,-4.406000000000001,31.798000000000002,10.33,301.197,55.446000000000005,2.9610000000000003,51.871,2.8510000000000004,2.333,6.063e-05,As8S12,mp-641
Insulator,3.5810000000000004,-8.524,160.55700000000002,78.60600000000001,342.407,8.562000000000001,2.866,8.311,2.783,3.037,5.208e-05,Th1O2,mp-643
Insulator,0.861,-2.845,12.982999999999999,5.862,125.461,51.99100000000001,3.303,48.385,2.977,2.984,6.08e-05,K10Te6,mp-644
Insulator,2.187,-3.167,24.642,11.57,277.754,9.433,3.145,8.833,2.888,3.832,6.135e-05,Na2S1,mp-648
Insulator,3.95,-7.212999999999999,184.794,128.244,876.375,8.088,2.012,7.903,2.002,3.385,6.221e-05,Al2N2,mp-661
Insulator,0.659,-3.838,39.196,15.882,179.42700000000002,9.402999999999999,3.05,8.65,2.927,2.889,5.481e-05,Sn1Se2,mp-665
Insulator,1.07,-2.806,49.328,14.015,198.013,12.077,3.0810000000000004,11.427,2.9419999999999997,2.699,6.064e-05,Cd2S2,mp-672
Insulator,3.6310000000000002,-7.417999999999999,79.556,47.051,721.908,27.984,2.319,27.866,2.29,2.923,6.426e-05,Ca2N12,mp-676
Insulator,3.548,-8.089,135.14,61.015,331.523,111.745,2.9,110.161,2.84,2.6210000000000004,5.176e-05,Er16O24,mp-679
Insulator,6.021,-4.055,40.338,27.061,396.871,6.142,3.0980000000000003,5.245,2.766,3.772,7.357e-05,Na1F1,mp-682
Insulator,1.449,-4.678999999999999,32.346,18.483,240.264,17.762,3.013,17.348,2.888,2.892,5.246e-05,Ba2S4,mp-684
Insulator,2.263,-4.803,23.565,13.685,366.644,45.153,2.799,43.39,2.6689999999999996,2.717,6.989e-05,P8S10,mp-690
Insulator,0.509,-3.955,45.5,23.03,211.628,25.697,3.0410000000000004,24.208000000000002,2.92,2.464,6.063e-05,Sn4Se4,mp-691
Metal,0.0,-5.882999999999999,166.175,87.16,472.593,32.893,2.7430000000000003,31.826,2.668,2.55,6.002e-05,Sn4O8,mp-697
Insulator,0.821,-4.218999999999999,52.125,27.371,278.79400000000004,22.101999999999997,2.984,20.916999999999998,2.875,2.26,6.058e-05,Ge4Se4,mp-700
Insulator,1.68,-2.32,43.608000000000004,11.523,130.19899999999998,13.042,3.275,11.967,3.003,3.313,5.655e-05,Hg2F2,mp-706
Insulator,0.693,-3.362,15.780999999999999,6.751,205.55200000000002,48.331,3.165,43.724,2.9330000000000003,2.9210000000000003,6.01e-05,K8As8,mp-713
Insulator,6.547000000000001,-7.894,159.548,147.321,1144.55,16.279,1.636,17.910999999999998,1.567,2.931,7.019e-05,B4O6,mp-717
Insulator,3.155,-3.7880000000000003,30.974,11.359000000000002,120.618,25.674,3.3489999999999998,24.298000000000002,3.0,2.841,5.668e-05,Tl4F4,mp-720
Insulator,3.253,-5.1080000000000005,52.122,18.831,462.98,60.201,2.679,58.388999999999996,2.6260000000000003,2.64,6.717e-05,Se8O16,mp-726
Insulator,0.8029999999999999,-5.197,155.776,94.42200000000001,405.50800000000004,33.298,2.805,32.385,2.7310000000000003,2.778,5.999e-05,P8Pt4,mp-730
Insulator,2.57,-6.192,111.15700000000001,69.617,586.4209999999999,20.903000000000002,2.6180000000000003,21.493000000000002,2.498,2.6710000000000003,5.93e-05,Ge3O6,mp-733
Insulator,0.872,-3.325,34.09,30.368000000000002,476.89300000000003,19.722,2.85,16.899,2.655,3.513,6.687e-05,Li6P2,mp-736
Insulator,3.4389999999999996,-10.014,216.39700000000002,109.29799999999999,472.866,31.232,2.6910000000000003,30.47,2.6289999999999996,2.7760000000000002,5.233e-05,Hf4O8,mp-741
Insulator,3.8960000000000004,-6.462999999999999,43.071000000000005,18.18,305.763,23.925,2.9610000000000003,22.848000000000003,2.747,2.793,6.387e-05,Rb2N6,mp-743
Insulator,0.726,-3.147,29.935,23.25,391.66900000000004,21.228,3.003,19.494,2.758,3.4760000000000004,6.693e-05,Li6As2,mp-757
Insulator,0.973,-4.333,98.429,69.193,375.11,17.07,2.875,16.457,2.765,2.7489999999999997,5.517e-05,Fe2Se4,mp-760
Insulator,1.2890000000000001,-4.184,51.762,24.12,245.3,8.931000000000001,3.002,7.999,2.884,2.8139999999999996,5.996e-05,Pt1S2,mp-762
Insulator,0.479,-5.425,143.22799999999998,92.68799999999999,413.923,16.984,2.787,16.207,2.7039999999999997,2.8169999999999997,6.112e-05,As4Ru2,mp-766
Insulator,1.8940000000000001,-5.709,167.68400000000003,104.18799999999999,562.01,10.137,2.605,9.99,2.535,3.1239999999999997,6.143e-05,Ga2N2,mp-804
Insulator,3.56,-8.087,136.94899999999998,61.06100000000001,335.105,111.369,2.897,109.99,2.8280000000000003,2.58,5.181e-05,Ho16O24,mp-812
Metal,0.0,-2.002,38.054,8.709,119.698,6.181,3.19,5.718,2.989,3.0439999999999996,5.201e-05,Hg1Se1,mp-820
Insulator,1.402,-8.722000000000001,186.21,89.395,549.8,114.12,2.5140000000000002,111.54899999999999,2.526,2.623,6.015e-05,Nb16O32,mp-821
Insulator,3.9589999999999996,-6.39,49.416000000000004,19.845,424.914,21.703000000000003,2.855,21.404,2.653,3.013,6.38e-05,K2N6,mp-827
Insulator,1.36,-5.648,169.22400000000002,94.985,555.9119999999999,4.982,2.61,4.812,2.548,3.122,6.146e-05,Ga1N1,mp-830
Insulator,2.26,-5.055,69.447,66.443,759.6260000000001,17.258,2.226,15.225999999999999,2.1109999999999998,2.9330000000000003,6.971e-05,Li4O4,mp-841
Insulator,1.222,-5.067,61.266999999999996,31.701999999999998,412.772,109.391,2.84,107.365,2.735,3.072,6.025e-05,Ca24N16,mp-844
Metal,0.0,-5.859,159.007,73.601,463.097,16.375,2.779,16.043,2.6919999999999997,2.7560000000000002,5.998e-05,Sn2O4,mp-856
Metal,0.0,-6.272,144.325,83.821,919.312,14.325,1.984,14.207,1.96,3.818,6.299e-05,Ca1B6,mp-865
Insulator,2.053,-5.928999999999999,51.205,19.867,295.55,22.522,2.932,22.686999999999998,2.8280000000000003,2.653,5.520000000000001e-05,Tl2N6,mp-870
Insulator,0.846,-5.119,208.78,143.572,672.795,19.882,2.373,19.148,2.371,2.859,6.149e-05,Fe4Si4,mp-871
Insulator,1.264,-6.337999999999999,51.876999999999995,30.878,252.71099999999998,88.455,2.978,81.39699999999999,2.858,2.502,5.232e-05,Ho12S18,mp-878
Metal,0.0,-7.607,150.664,102.37200000000001,382.041,5.5489999999999995,2.8280000000000003,5.2829999999999995,2.77,3.0260000000000002,5.252e-05,Ho1N1,mp-883
Insulator,2.0269999999999997,-5.872000000000001,157.975,91.07799999999999,561.864,23.898000000000003,2.608,23.593000000000004,2.452,2.6310000000000002,6.106e-05,Ga4O6,mp-886
Insulator,6.909,-6.499,86.229,39.881,344.121,63.928000000000004,2.944,65.891,2.8110000000000004,3.525,5.487e-05,La6F18,mp-905
Insulator,1.2770000000000001,-3.891,41.181999999999995,8.31,205.71099999999998,57.433,3.035,58.003,2.917,2.245,5.493e-05,As8Se12,mp-909
