ml_egap_type,ml_egap,ml_energy_per_atom,ml_ael_bulk_modulus_vrh,ml_ael_shear_modulus_vrh,ml_agl_debye,ml_agl_heat_capacity_Cp_300K,ml_agl_heat_capacity_Cp_300K_per_atom,ml_agl_heat_capacity_Cv_300K,ml_agl_heat_capacity_Cv_300K_per_atom,ml_agl_thermal_conductivity_300K,ml_agl_thermal_expansion_300K,full_formula,material_id
Metal,0.0,-7.243,298.8,200.318,843.001,4.272,2.118,4.232,2.108,2.963,7.517e-05,Cr1C1,mp-1018050
Metal,0.0,-6.265,226.567,96.09,269.142,11.725,2.928,11.477,2.886,3.179,4.785e-05,Hf1Pt3,mp-1018054
Metal,0.0,-6.577,176.12,61.997,276.324,11.979,2.914,11.572,2.88,3.231,5.334e-05,Hf2Ni2,mp-1018056
Metal,0.0,-4.457,129.245,65.154,388.153,5.478,2.886,5.311,2.794,3.369,6.094e-05,Fe2Se2,mp-1018075
Metal,0.0,-8.387,208.305,179.034,1476.992,4.377,1.133,4.715,1.125,3.166,8.493e-05,C4,mp-1018088
Insulator,1.38,-3.616,38.412,15.941,227.039,12.185,3.05,11.785,2.917,2.857,6.051e-05,Ca1Zn1Se2,mp-1018089
Insulator,2.781,-6.076,69.885,36.883,348.307,12.784,2.921,12.203,2.817,3.368,5.196e-05,Ba1Ca1O2,mp-1018097
Metal,0.0,-5.129,146.365,33.415,225.862,8.76,2.978,8.729,2.924,3.142,6.205e-05,Zr1Pd2,mp-1018102
Metal,0.0,-5.852,92.76,27.005,233.283,8.491,2.98,8.593,2.929,3.195,6.231e-05,Zr2Zn1,mp-1018105
Metal,0.0,-5.664,54.097,25.592,189.894,9.377,2.983,8.723,2.9,3.277,5.432e-05,Zr1Te2,mp-1018107
Insulator,0.809,-4.358,50.878,24.882,194.823,12.263,3.046,11.609,2.934,2.46,5.25e-05,Pb2S2,mp-1018115
Metal,0.0,-3.944,172.831,37.398,228.755,8.873,3.003,8.75,2.914,3.207,6.2e-05,Ti1Pd2,mp-1018121
Metal,0.0,-5.815,266.936,95.816,260.181,8.659,2.919,8.765,2.897,3.217,4.881e-05,Pt2W1,mp-1018129
Metal,0.0,-2.011,104.621,51.66,419.107,6.333,2.834,5.608,2.733,4.043,6.194e-05,Mg1Ni1,mp-1018140
Insulator,1.921,-6.436,62.03,36.24,308.251,8.404,2.913,8.302,2.861,2.845,6.223e-05,Ba1C2,mp-1018141
Metal,0.0,-5.154,219.707,38.431,217.532,6.016,3.001,5.797,2.921,3.168,6.381e-05,Pt1C1,mp-1018164
Metal,0.0,-5.085,250.249,54.543,247.173,5.98,2.971,5.824,2.911,3.089,6.381e-05,Pt1C1,mp-1018165
Metal,0.0,-1.481,18.46,5.145,121.871,10.014,3.21,9.2,2.991,3.412,5.361e-05,Ba2Zn1,mp-1018178
Metal,0.0,-2.813,61.669,38.567,425.603,14.041,2.849,13.714,2.712,3.501,6.541e-05,Mg3Zn1C1,mp-10185
Insulator,1.68,-6.915,160.875,88.934,525.998,13.117,2.657,12.862,2.594,3.153,6.012e-05,Ti1Sn1O3,mp-1018639
Metal,0.0,-2.655,25.021,18.249,153.469,18.264,3.145,17.436,2.98,3.042,5.255e-05,Ba2Mg2Pb2,mp-1018653
Metal,0.0,-2.716,26.805,14.859,179.039,18.221,3.104,17.436,2.957,3.157,5.349e-05,Ba2Mg2Sn2,mp-1018654
Metal,0.0,-8.444,92.677,39.452,198.679,17.304,2.987,16.687,2.933,3.007,5.247e-05,Hf5Pb1,mp-1018715
Insulator,4.445,-10.012,208.381,103.362,462.136,15.693,2.731,15.365,2.669,2.788,5.184e-05,Hf2O4,mp-1018721
Metal,0.0,-2.678,53.605,30.743,383.699,16.536,2.917,16.509,2.775,3.231,6.227e-05,Mg4Ge2,mp-1018794
Metal,0.0,-2.422,45.234,29.053,284.081,17.325,3.058,17.159,2.888,3.18,6.219e-05,Mg4Sn2,mp-1018795
Metal,0.0,-2.8,59.861,22.593,374.387,17.131,2.907,16.784,2.788,3.649,6.02e-05,Mg4Si2,mp-1018796
Insulator,0.985,-5.722,46.849,23.511,327.132,17.057,2.863,16.601,2.789,2.845,5.51e-05,Mo2Se4,mp-1018807
Insulator,1.068,-6.229,64.958,25.01,408.875,16.328,2.726,16.04,2.688,2.851,6.121e-05,Mo2S4,mp-1018809
Insulator,0.164,-8.129,353.574,193.702,572.2,14.951,2.463,14.784,2.464,2.735,6.366e-05,Os2C4,mp-1018850
Metal,0.0,-4.418,167.245,60.64,404.363,18.173,2.847,16.426,2.738,2.845,6.025e-05,Pd2O4,mp-1018886
Metal,0.0,-2.49,33.271,18.23,203.113,18.127,3.095,17.386,2.946,3.04,6.212e-05,Sr2Zn2Sn2,mp-1019279
Metal,0.0,-2.354,30.787,15.694,170.157,18.2,3.143,17.524,2.965,2.953,5.25e-05,Sr2Zn2Pb2,mp-1019280
Insulator,0.813,-5.539,51.501,37.632,201.349,17.749,2.969,17.117,2.877,3.067,4.685e-05,Te4W2,mp-1019322
Insulator,3.022,-6.189,86.136,43.838,399.06,22.103,2.859,21.985,2.765,3.14,5.198e-05,Ba1Ca3O4,mp-1019541
Insulator,3.12,-7.945,128.857,71.418,412.484,28.279,2.794,27.721,2.695,2.696,5.182e-05,Ba2Zr2O6,mp-1019544
Insulator,4.328,-6.017,38.024,30.89,588.657,144.64,2.463,136.831,2.426,2.583,5.101e-05,Ba4Ge4S24O84,mp-1019548
Insulator,4.566,-7.224,118.047,65.192,560.253,110.862,2.54,107.938,2.541,2.984,5.181e-05,Ba4Mg8Si8O28,mp-1019549
Insulator,5.002,-6.032,49.061,28.867,535.21,91.137,2.59,90.322,2.522,2.721,5.163e-05,Ba2S8O26,mp-1019557
Insulator,4.41,-7.058,133.469,71.174,534.485,35.709,2.65,35.473,2.572,2.82,5.193e-05,Ba1Sr2Mg1Si2O8,mp-1019558
Insulator,3.289,-6.607,107.08,66.671,584.777,34.897,2.625,34.109,2.531,2.923,6.051e-05,Ca4Ge2O8,mp-1019561
Insulator,3.947,-7.221,114.741,68.419,644.583,34.289,2.472,33.928,2.415,2.949,6.045e-05,Ca4Si2O8,mp-1019562
Metal,0.0,-4.222,44.453,27.125,330.037,26.11,2.935,24.104,2.833,3.203,6.018e-05,Ca6Ge2O1,mp-1019564
Insulator,4.014,-7.498,102.523,70.93,641.403,170.191,2.276,154.249,2.344,2.732,6.029e-05,Ca32Si20O72,mp-1019570
Insulator,4.802,-7.306,138.399,78.84,772.127,95.255,2.295,95.765,2.27,2.849,6.053e-05,Ca4Mg4Si8O24,mp-1019580
Insulator,5.025,-6.03,34.311,30.77,659.884,122.006,2.352,110.114,2.315,2.63,5.996e-05,Ca4S12O40,mp-1019581
Metal,0.0,-8.993,187.925,105.263,518.879,5.347,2.651,5.245,2.602,3.293,6.05e-05,Zr1O1,mp-10197
Metal,0.0,-5.598,159.391,91.199,395.786,8.22,2.802,8.171,2.726,3.204,6.248e-05,Ge2Mo1,mp-10201
