,material_id,full_formula,pretty_formula,LOG ,LOG Prob,DT ,DT Prob,RF ,RF Prob,GB ,GB Prob
4734,mp-19006,Mn2O2,MnO,1.0,0.5390844199039427,1.0,0.625,1.0,0.6658690476190476,1.0,0.9941395687694089
4735,mp-19009,Ni2O2,NiO,1.0,0.6435461500950267,1.0,0.625,1.0,0.7765440099116568,1.0,0.999970806107727
4842,mp-19184,V4O4,VO,0.0,0.49105404464863667,1.0,0.625,1.0,0.7033690476190476,1.0,0.999970806107727
5045,mp-19717,Te1Pb1,TePb,1.0,0.9837665047783105,1.0,0.625,1.0,0.85,1.0,0.999970806107727
5052,mp-19765,In2Hg1Te4,In2HgTe4,1.0,0.920088486688527,1.0,1.0,1.0,0.7374047619047619,1.0,0.999970806107727
5056,mp-19795,In4S4,InS,1.0,0.8131284009432902,1.0,1.0,1.0,0.6676558704453441,1.0,0.999970806107727
5062,mp-19833,In2Ag2S4,InAgS2,1.0,0.9059187867905958,1.0,1.0,1.0,0.8444935897435897,1.0,0.999970806107727
5076,mp-19921,Pb2O2,PbO,0.0,0.4577984448274645,1.0,1.0,1.0,0.5719122807017544,1.0,0.999970806107727
5096,mp-20025,Mn1Ga2S4,Mn(GaS2)2,1.0,0.6933761341444705,1.0,1.0,1.0,0.816826923076923,1.0,0.999970806107727
5124,mp-20187,Li2In2Se4,LiInSe2,1.0,0.7844200186789925,1.0,1.0,1.0,0.7380000000000001,1.0,0.999970806107727
5139,mp-20261,Mn1Ga2Se4,Mn(GaSe2)2,1.0,0.7668650927189131,1.0,1.0,1.0,0.7286666666666668,1.0,0.999970806107727
5147,mp-20305,In1As1,InAs,1.0,0.9979037487585376,1.0,1.0,1.0,0.9897435897435898,1.0,0.999970806107727
5148,mp-20310,Li4In4Se8,LiInSe2,1.0,0.754395652667611,1.0,1.0,1.0,0.7205000000000001,1.0,0.999970806107727
5155,mp-20351,In1P1,InP,1.0,0.9900279159622163,1.0,1.0,1.0,0.9713225371120109,1.0,0.999970806107727
5177,mp-20474,Mn2Cu4Ge2S8,MnCu2GeS4,1.0,0.839715827914631,1.0,1.0,1.0,0.6590725371120107,1.0,0.999970806107727
5178,mp-20485,In4Se4,InSe,1.0,0.8936864960360054,1.0,1.0,1.0,0.6970000000000001,1.0,0.999970806107727
5187,mp-20554,In2Ag2Se4,InAgSe2,1.0,0.9775480932814333,1.0,1.0,1.0,0.97,1.0,0.999970806107727
5206,mp-20731,In2Hg1Se4,In2HgSe4,1.0,0.73926926161076,1.0,1.0,1.0,0.6113170426065163,1.0,0.999970806107727
5214,mp-20782,Li2In2Te4,LiInTe2,1.0,0.928422692417144,1.0,1.0,1.0,0.9145833333333333,1.0,0.999970806107727
5225,mp-20832,Zn1In2Te4,Zn(InTe2)2,1.0,0.8631259370241212,1.0,1.0,1.0,0.7386666666666667,1.0,0.999970806107727
5275,mp-21276,Pb1S1,PbS,1.0,0.8932310802491787,1.0,0.625,1.0,0.8415789473684211,1.0,0.999970806107727
5287,mp-21374,Cd1In2Te4,Cd(InTe2)2,1.0,0.9450645211192276,1.0,1.0,1.0,0.7363333333333334,1.0,0.999970806107727
5291,mp-21405,In2Se2,InSe,1.0,0.9419420331388343,1.0,1.0,1.0,0.7749047619047619,1.0,0.999970806107727
5295,mp-21459,In4Ag4S8,InAgS2,1.0,0.8974472654492847,1.0,1.0,1.0,0.8351666666666666,1.0,0.999970806107727
5438,mp-22205,In2N2,InN,1.0,0.9487276946700041,1.0,0.625,1.0,0.9567392037786775,1.0,0.999970806107727
5459,mp-22304,Cd1In2Se4,Cd(InSe2)2,1.0,0.831005920993122,1.0,1.0,1.0,0.727,1.0,0.999970806107727
5478,mp-22408,Co4O4,CoO,1.0,0.7822301255516891,1.0,1.0,1.0,0.9182619047619047,1.0,0.999970806107727
5544,mp-22691,In2Se2,InSe,1.0,0.878034844125897,1.0,1.0,1.0,0.7586666666666667,1.0,0.999970806107727
5551,mp-22736,In2Cu2S4,InCuS2,1.0,0.8258721783092231,1.0,1.0,1.0,0.6964935897435898,1.0,0.999970806107727
5564,mp-22811,In2Cu2Se4,InCuSe2,1.0,0.8946368184384861,1.0,1.0,1.0,0.7980000000000002,1.0,0.999970806107727
5570,mp-22848,Cl4,Cl2,1.0,0.9923495954118675,1.0,1.0,1.0,0.968076923076923,1.0,0.999970806107727
5577,mp-22858,Tl2I2,TlI,1.0,0.776645076094462,1.0,1.0,1.0,0.7055000000000001,1.0,0.999970806107727
5578,mp-22859,Hg2I2,HgI,1.0,0.9519311334112392,1.0,1.0,1.0,0.87,1.0,0.999970806107727
5579,mp-22863,Cu2I2,CuI,1.0,0.7857433437403815,1.0,1.0,1.0,0.8283333333333333,1.0,0.999970806107727
