,material_id,full_formula,pretty_formula,LOG ,LOG Prob,DT ,DT Prob,RF ,RF Prob,GB ,GB Prob
4735,mp-19006,Mn2O2,MnO,1.0,0.9028618921073481,1.0,0.8888888888888888,1.0,0.5921681236567031,1.0,0.9062102281859343
4842,mp-19184,V4O4,VO,1.0,0.8493439804467744,1.0,0.8888888888888888,1.0,0.6230538379424175,1.0,0.976202753859786
5157,mp-20351,In1P1,InP,1.0,0.6868153844036591,1.0,0.9594594594594594,1.0,0.6375227938838623,1.0,0.9703386421755458
5187,mp-20554,In2Ag2Se4,InAgSe2,1.0,0.6413215707331662,1.0,0.9594594594594594,1.0,0.663206276398535,1.0,0.9717264481077615
5439,mp-22205,In2N2,InN,1.0,0.8299951159964594,1.0,0.9594594594594594,1.0,0.7139906746849592,1.0,0.9808498309582472
5573,mp-22848,Cl4,Cl2,1.0,0.7540268701289811,1.0,0.9594594594594594,1.0,0.5777244643610024,1.0,0.9485196526747308
5602,mp-22895,Cu1I1,CuI,1.0,0.6402285837715546,1.0,0.9594594594594594,1.0,0.6243151045388902,1.0,0.9701752987129887
5615,mp-22914,Cu1Cl1,CuCl,1.0,0.8831262577589322,1.0,0.9594594594594594,1.0,0.7187741260315414,1.0,0.9785497316698304
5771,mp-23155,Ar1,Ar,1.0,0.9837764820517111,1.0,0.9594594594594594,1.0,0.6036639226223405,1.0,0.6414496307576916
5772,mp-23156,He2,He,1.0,0.9999988456585609,1.0,0.9594594594594594,1.0,0.7095818751619073,1.0,0.968276770177969
5773,mp-23158,He1,He,1.0,0.9999996307690306,1.0,0.9594594594594594,1.0,0.8124874686716792,1.0,0.997476619545947
6061,mp-23703,Li1H1,LiH,1.0,0.6136422890694687,1.0,0.8888888888888888,1.0,0.7695994397759104,1.0,0.8199468709072407
6290,mp-24093,Cu2H2,CuH,1.0,0.9789592441639057,1.0,0.9594594594594594,1.0,0.7227251450040348,1.0,0.9918311592747052
8227,mp-30148,B2C4N2,BC2N,1.0,0.9989503293501599,1.0,0.8888888888888888,1.0,0.7880308880308879,1.0,0.9902999706371536
13884,mp-568145,Ar2,Ar,1.0,0.9980810387517122,1.0,0.9594594594594594,1.0,0.6762280251864431,1.0,0.8584217918468862
14099,mp-569346,Cu2I2,CuI,1.0,0.5781966717874848,1.0,0.9594594594594594,1.0,0.6909963500481321,1.0,0.9910145854572386
14424,mp-570935,Li2I2,LiI,1.0,0.8540741872088325,1.0,0.9594594594594594,1.0,0.7015546530360106,1.0,0.9785643494196711
14596,mp-571653,C3N4,C3N4,1.0,0.9691548580406056,1.0,0.8888888888888888,1.0,0.678030888030888,1.0,0.9931952999456496
15133,mp-612118,Kr1,Kr,1.0,0.9457433769865387,1.0,0.9594594594594594,1.0,0.5104952380952381,1.0,0.6618220609293516
15146,mp-614456,He1,He,1.0,0.9999980624470728,1.0,0.9594594594594594,1.0,0.6327878787878788,1.0,0.9932337559925568
15381,mp-629458,B1C2N1,BC2N,1.0,0.9990502130040599,1.0,0.9594594594594594,1.0,0.838030888030888,1.0,0.9959452579295165
15441,mp-634659,H1,H2,1.0,0.9612414820232404,1.0,0.9594594594594594,1.0,0.6022898153725601,1.0,0.8601637020114928
16268,mp-672234,N4,N2,1.0,0.8883473608980456,1.0,0.9594594594594594,1.0,0.6888722772726306,1.0,0.7964801193552816
18551,mp-966800,In2P2,InP,1.0,0.8567139454422773,1.0,0.9594594594594594,1.0,0.727198119815367,1.0,0.9844670372061103
18689,mp-997618,B1Sb1,BSb,1.0,0.9405961558315383,1.0,0.9594594594594594,1.0,0.7109685096416825,1.0,0.9920147716334317
18690,mp-998980,Ti1Al1Fe1Co1,TiAlFeCo,1.0,0.508030029482919,1.0,0.9594594594594594,1.0,0.5379129024675312,1.0,0.7074265743950622
18719,mp-999498,N4,N2,1.0,0.9415008840329696,1.0,0.8888888888888888,1.0,0.8465575723888414,1.0,0.990027556818296
18731,mp-1002164,Ge1C1,GeC,1.0,0.9478237069883675,1.0,0.9594594594594594,1.0,0.7329937536170705,1.0,0.9879037464783234
18740,mp-1006880,Bi1B1,BiB,1.0,0.8167655173717124,1.0,0.9594594594594594,1.0,0.6117627741837733,1.0,0.951416700988248
18748,mp-1007776,Tl1P1,TlP,1.0,0.883559087914591,1.0,0.9594594594594594,1.0,0.5563388094257101,1.0,0.9506876911239145
18753,mp-1008223,Ca1Se1,CaSe,1.0,0.9071037171938122,1.0,0.9594594594594594,1.0,0.5819022508095797,1.0,0.8331807414865174
18754,mp-1008394,Cl4,Cl2,1.0,0.6032424501783568,1.0,0.9594594594594594,1.0,0.5568911310276692,1.0,0.9485196526747308
18757,mp-1008523,B1C2N1,BC2N,1.0,0.999292182031655,1.0,0.9594594594594594,1.0,0.8085714285714286,1.0,0.9971527810471457
18759,mp-1008528,B2As1P1,B2AsP,1.0,0.7357839295549313,1.0,0.9594594594594594,1.0,0.6476702947592315,1.0,0.9714323485414785
18760,mp-1008556,Al1Ga1N2,AlGaN2,1.0,0.9582140786992526,1.0,0.9594594594594594,1.0,0.6755673450773344,1.0,0.9181281423897522
18761,mp-1008557,Al1B1N2,AlBN2,1.0,0.6558966092098003,1.0,0.8888888888888888,1.0,0.6517748097424086,1.0,0.7263901205594129
18762,mp-1008559,B2P2,BP,1.0,0.8962975754413406,1.0,0.9594594594594594,1.0,0.7356625528288887,1.0,0.9912474350239283
18779,mp-1009540,Os1C1,OsC,1.0,0.8749111073364149,1.0,0.9594594594594594,1.0,0.7711283124291941,1.0,0.9761835059604629
