,material_id,full_formula,pretty_formula,LOG ,LOG Prob,DT ,DT Prob,RF ,RF Prob,GB ,GB Prob
11023,mp-559129,Li12Er4N24O72,Li3Er(NO3)6,1.0,0.9928516616123172,1.0,0.946236559139785,1.0,0.753697253817828,1.0,0.9389982894623372
11027,mp-559138,Ba16Zn8B16O48,Ba2Zn(BO3)2,1.0,0.9578379379366623,1.0,0.5714285714285714,1.0,0.9040108702309676,1.0,0.9478437236212698
11029,mp-559142,K8Li8P16O48,KLi(PO3)2,1.0,0.9996578794157945,1.0,0.5555555555555556,1.0,0.6145701394641684,1.0,0.6928944738963952
11030,mp-559144,Ge2Pb6O10,GePb3O5,1.0,0.8214495949902949,1.0,0.9468085106382979,1.0,0.8985511902386656,1.0,0.9470127191668615
11032,mp-559151,Ba2Sr2Ta4O14,BaSrTa2O7,1.0,0.999993646894298,1.0,1.0,1.0,0.8755611657994925,1.0,0.991748514644146
11033,mp-559154,Ti8Bi4O22,Ti4Bi2O11,1.0,0.9997766664374117,1.0,0.8333333333333334,1.0,0.8977278781438964,1.0,0.9800423599703127
11035,mp-559160,Na4Sm4Se8O28,NaSmSe2O7,1.0,0.9870774839144395,1.0,0.946236559139785,1.0,0.8985521303689604,1.0,0.9113841032019927
11038,mp-559166,Sr4U2Fe2O12,Sr2UFeO6,1.0,0.8291399591782226,1.0,0.8709677419354839,1.0,0.8686443305383377,1.0,0.9182942734309832
11042,mp-559177,Mg14Si16O44F4,Mg7Si8(O11F)2,1.0,0.9998501161963563,1.0,0.6231884057971014,1.0,0.8411136396483928,1.0,0.9885525503730744
11043,mp-559178,Tm2Mo2Cl2O8,TmMoClO4,1.0,0.9762571586694124,1.0,0.8333333333333334,1.0,0.6782418914249689,1.0,0.9075406756073677
11045,mp-559184,Zn4Si6Pb8S2O30,Zn2Si3Pb4SO15,1.0,0.9832644159893085,1.0,0.7714285714285715,1.0,0.9066418415899997,1.0,0.9799286244015709
11047,mp-559186,Ba4Bi4B4O16,BaBiBO4,1.0,0.9999152683916313,1.0,0.946236559139785,1.0,0.963383409822992,1.0,0.9893676129040759
11048,mp-559195,Sm2Mn2Se4Cl2O12,SmMnSe2ClO6,0.0,0.27937457803391197,1.0,0.5714285714285714,1.0,0.7461072267064458,1.0,0.7658487963271486
11050,mp-559200,Cd2In4S8,Cd(InS2)2,1.0,0.9999996767420568,1.0,0.696969696969697,1.0,0.9287618720882113,1.0,0.9901730315318121
11053,mp-559212,Rb4Re4S4O12,RbReSO3,1.0,0.9985293016857804,1.0,0.7714285714285715,1.0,0.6579456622158149,1.0,0.8413621960313543
11054,mp-559213,Cs4In12O20,CsIn3O5,1.0,0.999489049007644,1.0,0.8333333333333334,1.0,0.8167648262178061,1.0,0.8852673316492277
11055,mp-559224,Sr12Al8Cl8O20,Sr3Al2Cl2O5,1.0,0.9057296990666601,1.0,0.9468085106382979,1.0,0.7704260311601332,1.0,0.811642266623475
11057,mp-559228,Rb16Hf8S32,Rb2HfS4,1.0,0.9969768574679764,1.0,0.7583333333333333,1.0,0.6006811290308904,1.0,0.8372287875652547
11058,mp-559231,Se16S8N16Cl16,Se2S(NCl)2,1.0,0.6371894796013999,1.0,0.9468085106382979,1.0,0.6808660628778946,1.0,0.7345422505180933
11059,mp-559233,Se4S16N12Cl20,SeS4N3Cl5,1.0,0.5205526722435211,1.0,0.7333333333333333,1.0,0.7185346134152095,1.0,0.7177545567180925
11065,mp-559243,Nd2Ta2Cl2O7,Nd2Ta2Cl2O7,1.0,0.8147262723502631,1.0,0.8333333333333334,1.0,0.5585454367757352,1.0,0.5137845718235097
