,material_id,full_formula,pretty_formula,LOG ,LOG Prob,DT ,DT Prob,RF ,RF Prob,GB ,GB Prob,MP BG
8124,mp-541238,K2Ti4P6O24,KTi2(PO4)3,1.0,0.9757756792866992,1.0,0.9539748953974896,1.0,0.7949698423583632,1.0,0.8969453755715251,2.5339
8126,mp-541256,K4Th2Mo6O24,K2Th(MoO4)3,1.0,0.9961542327414408,1.0,0.7777777777777778,1.0,0.6803462534723308,1.0,0.9059400417566212,2.8388999999999998
8128,mp-541272,Li2Ge4P6O24,LiGe2(PO4)3,1.0,0.9992029953171611,1.0,0.9782608695652174,1.0,0.792874333768038,1.0,0.9668030529465923,3.385
8130,mp-541280,Ba4La4Ga4O16,BaLaGaO4,1.0,0.9975731654920686,1.0,0.9782608695652174,1.0,0.9230485564984563,1.0,0.9434949471794968,3.9600999999999997
8131,mp-541282,K2Zr4As6O24,KZr2(AsO4)3,1.0,0.9983578922697591,1.0,0.8333333333333334,1.0,0.7967513644897534,1.0,0.9603528392528422,4.0404
8132,mp-541283,In4Ga4Br16,InGaBr4,1.0,0.9991035557388249,1.0,0.7333333333333333,1.0,0.5420971926459854,1.0,0.7798866733429817,2.9039
8133,mp-541289,Y12S18,Y2S3,1.0,0.9961228434012984,1.0,1.0,1.0,0.8395638689098722,1.0,0.9739545002961012,1.5992000000000002
8136,mp-541312,Ge3Te6As2,Ge3(Te3As)2,1.0,0.9808855821202942,1.0,1.0,1.0,0.7863674558903466,1.0,0.9076488426260494,0.5336000000000007
8143,mp-541352,P16S12I8,P4S3I2,1.0,0.9999549432092166,1.0,0.7583333333333333,1.0,0.7660930198197491,1.0,0.9697957513140075,2.2079
8149,mp-541368,Tl4V2O7,Tl4V2O7,1.0,0.9999679434876524,1.0,0.9468085106382979,1.0,0.8770150807705872,1.0,0.934866514462124,2.6163
8152,mp-541378,Cs4Bi4S8,CsBiS2,1.0,0.9999711330420825,1.0,0.946236559139785,1.0,0.8825647210994867,1.0,0.9720528627923433,1.58
8154,mp-541380,Rb8Sn8S32,RbSnS4,1.0,0.9832938817445009,1.0,0.946236559139785,1.0,0.7918932382871905,1.0,0.6859643571453662,1.3934000000000002
8156,mp-541393,K6Na2Re4O18,K3NaRe2O9,1.0,0.9110493909682187,1.0,0.7583333333333333,1.0,0.6587571924404,1.0,0.8905140646813298,1.8230999999999997
8158,mp-541403,Hg14P8Br12,Hg7(P2Br3)2,1.0,0.9927534797476161,1.0,0.7333333333333333,1.0,0.6566701203857606,1.0,0.9618124274680184,1.3544000000000003
8159,mp-541404,V4O8,VO2,1.0,0.8630381063635236,1.0,0.9539748953974896,1.0,0.7287421245752342,1.0,0.9431191871273205,0.7805
8161,mp-541412,Cs4Y4P8O28,CsYP2O7,1.0,0.9996897843315432,1.0,0.9782608695652174,1.0,0.8012366055444845,1.0,0.9748576465455707,5.129099999999999
8165,mp-541433,Cd8Bi16O32,Cd(BiO2)2,1.0,0.9999976919443813,1.0,0.7333333333333333,1.0,0.8313963890937517,1.0,0.9942994545538841,2.7121000000000004
8167,mp-541436,Nb4Tl4P8O32,NbTl(PO4)2,1.0,0.9982511927325354,1.0,0.9574468085106383,1.0,0.8794263582529426,1.0,0.9108163201479759,2.8847
8168,mp-541450,In4S6O24,In2(SO4)3,1.0,0.9999962366147535,1.0,0.9574468085106383,1.0,0.8979433728838906,1.0,0.987228886116708,3.7541
8170,mp-541462,Sr2Ta8O22,SrTa4O11,1.0,0.9999352908332306,1.0,0.9468085106382979,1.0,0.8962962293253157,1.0,0.9906141386040032,3.5575
8172,mp-541468,Mn4P8Pb4O28,MnP2PbO7,1.0,0.9392330775890466,1.0,0.946236559139785,1.0,0.9083657599185219,1.0,0.9808562791104357,2.7099999999999995
