material_id,MP_sg,OQMD_sg,AFLOW_sg_orig,AFLOW_sg_relax
mp-3439,11,11,,
mp-3442,140,140,,
mp-3443,227,227,227,227
mp-3444,13,13,,
mp-3446,62,62,,
mp-3448,221,221,,
mp-3457,62,,,
mp-3466,167,167,,
mp-3468,61,,,
mp-3470,14,,,
mp-3472,62,62,,
mp-3476,14,,,
mp-3481,186,186,,
mp-3486,186,186,,
mp-3487,166,166,,
mp-3488,11,11,,
mp-3491,33,33,,
mp-3496,15,15,,
mp-3502,15,15,,
mp-3503,137,137,,
mp-3516,57,57,,
mp-3519,198,198,,
mp-3520,15,15,,
mp-3521,63,63,,
mp-3523,62,62,,
mp-3524,122,122,,
mp-3525,166,166,,
mp-3527,72,72,,
mp-3529,62,62,,
mp-3531,76,,,
mp-3532,160,160,,
mp-3536,227,227,,
mp-3538,206,,,
mp-3540,15,15,,
mp-3547,62,62,,
mp-3551,113,113,,
mp-3552,60,60,,
mp-3556,164,164,,
mp-3563,164,164,164,164
mp-3564,15,,,
mp-3575,167,167,,
mp-3582,64,64,,
mp-3584,14,14,,
mp-3589,82,82,,
mp-3592,72,72,,
mp-3593,227,227,,
mp-3594,36,36,,
mp-3595,122,122,,
mp-3606,33,33,,
mp-3611,227,227,227,227
mp-3612,52,52,,
mp-3613,166,166,,
mp-3614,221,221,,
mp-3615,15,15,,
mp-3622,14,14,,
mp-3626,63,,,
mp-3629,60,,,
mp-3632,194,194,,
mp-3635,14,14,,
mp-3637,166,166,,
mp-3642,194,194,,
mp-3647,33,33,,
mp-3653,136,136,,
mp-3654,221,221,,
mp-3660,33,33,,
mp-3664,166,,,
mp-3666,161,161,,
mp-3667,120,120,,
mp-3668,122,122,122,122
mp-3671,57,,57,57
mp-3677,33,33,,
mp-3688,227,227,,
mp-3694,142,,142,142
mp-3700,88,88,,
mp-3707,15,,15,15
mp-3715,61,,61,61
mp-3716,216,,,
mp-3718,129,129,,
mp-3719,62,,,
mp-3721,140,140,,
mp-3727,63,63,,
mp-3731,161,161,161,161
mp-3733,62,62,,
mp-3735,14,14,,
mp-3739,14,,,
mp-3742,194,,,
mp-3744,194,194,194,194
mp-3748,166,166,166,166
mp-3751,15,15,,
mp-3756,15,15,,
mp-3759,148,148,,
mp-3762,215,215,,
mp-3764,14,,,
mp-3765,14,,,
mp-3768,14,14,14,14
mp-3771,148,148,,
mp-3772,82,82,82,82
mp-3775,150,5,,
mp-3777,64,64,,
mp-3782,217,,,
mp-3785,140,140,,
mp-3788,15,15,,
mp-3789,148,148,,
mp-3790,55,,,
mp-3792,62,62,,
mp-3795,62,62,,
mp-3807,227,,227,227
mp-3808,139,139,,
mp-3810,162,162,,
mp-3813,139,139,,
mp-3817,92,,,
mp-3821,164,164,,
mp-3822,62,62,,
mp-3828,182,182,,
mp-3829,122,122,,
mp-3831,14,14,,
mp-3834,221,221,,
mp-3838,59,59,,
mp-3839,122,122,,
mp-3848,150,,150,150
mp-3855,14,14,,
mp-3856,14,,,
mp-3857,166,166,,
mp-3858,62,62,,
mp-3859,14,14,,
mp-3870,36,36,,
mp-3872,62,62,,
mp-3879,64,,64,64
mp-3881,36,36,,
mp-3884,227,227,,
mp-3887,206,206,,
mp-3889,167,167,,
mp-3897,142,,,
mp-3901,15,15,,
mp-3904,227,227,,
mp-3915,166,166,166,166
mp-3916,62,,,
mp-3917,62,62,,
mp-3919,167,167,,
mp-3922,15,15,,
mp-3924,194,194,194,194
mp-3926,7,,,
mp-3927,194,,,
mp-3928,15,15,,
mp-3932,14,14,,
mp-3933,36,36,,
mp-3934,31,31,31,31
mp-3941,13,13,,
mp-3943,12,12,,
mp-3949,205,205,205,205
mp-3952,62,62,,
mp-3953,167,,,
mp-3954,142,,,
mp-3955,154,,,
mp-3956,14,14,,
mp-3960,166,,,
mp-3962,14,14,,
mp-3963,14,14,,
mp-3967,14,14,,
mp-3970,164,164,,
mp-3974,19,,,
mp-3975,14,,,
mp-3977,19,19,,
mp-3978,15,15,,
mp-3980,148,148,,
mp-3982,63,63,,
mp-3992,129,129,,
mp-3996,152,152,,
mp-3998,36,36,,
mp-4002,162,162,,
mp-4004,36,36,,
mp-4006,141,141,,
mp-4008,122,122,,
mp-4009,63,63,63,63
mp-4016,15,15,,
mp-4019,62,62,,
mp-4024,113,113,,
mp-4025,216,216,,
mp-4026,166,166,,
mp-4030,69,69,,
mp-4035,88,,,
mp-4038,62,62,,
mp-4043,215,215,,
mp-4044,19,19,,
mp-4047,225,225,,
mp-4051,20,20,,
mp-4056,62,,,
mp-4057,62,62,,
mp-4066,61,,,
mp-4068,14,14,,
mp-4077,215,215,,
mp-4078,15,15,,
mp-4081,215,215,,
mp-4086,227,227,,
mp-4092,14,14,,
mp-4103,74,74,,
mp-4104,141,141,,
mp-4112,62,62,,
mp-4117,37,37,,
mp-4122,152,152,,
mp-4123,166,166,,
mp-4124,166,166,,
mp-4126,221,221,,
