,material_id,full_formula,band_gap,is_gap_direct,direct_gap,p_ex1_norm,p_ex1_degen,n_ex1_norm,n_ex1_degen,cbm_hybridization,cbm_character_1,cbm_specie_1,cbm_location_1,cbm_score_1,vbm_hybridization,vbm_character_1,vbm_specie_1,vbm_location_1,vbm_score_1
10045,mp-14862,Sr4Cu4Si16O40,,,,,,,,3.4657364599140035,s,Cu,0.5;0.0;0.590345,0.031249999252266982,2.6142907070642787,d,Cu,0.5;0.0;0.590345,0.19557938495202665
10046,mp-14864,Cs8Ti4P8O32,,,,,,,,1.9410949858249191,d,Ti,0.245392;0.756314;0.201066,0.2251453618104033,3.47736835123622,p,O,0.024248;0.418958;0.926576,0.065246466477187
10047,mp-14865,Sr32Al48W8O128,,,,,,,,,,,,,,,,,
10048,mp-14871,Li16Ta2N8O1,,,,,,,,3.432172393172834,d,Ta,0.249312;0.249312;0.249312,0.12665932810287736,2.8227311320739394,p,N,0.534827;0.225977;0.912931,0.10358154847241392
10049,mp-14873,K4Nb8Si1P4O34,,,,,,,,2.471190869642925,d,Nb,0.177954;0.177954;0.0,0.17527397295181635,2.9759244133086367,p,O,0.5;0.374605;0.148644,0.12410772374630635
10050,mp-14880,La8Ta12S8O32,,,,,,,,,,,,,,,,,
10051,mp-14883,Ba4Zr3S10,0.4167000000000001,0.0,0.7252000000000001,0.5,2.0,0.0,1.0,1.6495797926007467,d,Zr,0.856829;0.856829;0.0,0.34772846138505403,2.4986318755494006,p,S,0.929503;0.929503;0.0,0.15848919199080388
10052,mp-14884,Sr12Ni6P12O48,,,,,,,,,,,,,,,,,
10053,mp-14885,Rb4Cu4Si16O38,,,,,,,,,,,,,,,,,
10054,mp-14889,K36Fe8S28,,,,,,,,2.689504919628629,d,Fe,0.9007;0.9007;0.9007,0.20446073599368866,3.695669650385324,d,Fe,0.4007;0.5993;0.0993,0.07407345265726517
10055,mp-14890,Rb36Fe8S28,,,,,,,,2.303181320834733,d,Fe,0.599392;0.099392;0.400608,0.2258860507431608,1.9174616124505133,d,Fe,0.572424;0.572424;0.572424,0.2558312823413584
10056,mp-14892,Rb36Fe8Se28,,,,,,,,2.096189103899769,d,Fe,0.099801;0.400199;0.599801,0.2262815458156016,1.8532038201334249,d,Fe,0.07161;0.92839;0.42839,0.2657310853211953
10057,mp-14901,Na12Zn12As12O48,,,,,,,,4.807785036480178,s,Zn,0.329458;0.578828;0.741361,0.015426834501527629,4.162258241264523,p,O,0.72032;0.087971;0.81312,0.022342031883542016
10058,mp-15073,Ba2Sm2C4O12F2,4.295999999999999,1.0,4.295999999999999,0.0,1.0,0.0,1.0,2.7968552471819836,p,C,0.87468;0.87468;0.87468,0.1404811799756848,2.0247530821551885,p,O,0.421588;0.978549;0.978549,0.15833743224339275
10059,mp-15074,Sr3P6Ir6,0.4416000000000002,0.0,0.4542999999999999,0.30555556,6.0,0.25,6.0,2.984147217791177,d,Ir,0.490023;0.490023;0.0,0.11343053801831085,2.9148361828103435,d,Ir,0.509977;0.0;0.666667,0.11472565531802395
10060,mp-1554,K6Te6,0.21319999999999986,0.0,0.9048,0.0,1.0,0.5,1.0,2.518611252944169,p,Te,0.333333;0.666667;0.281454,0.13355508582733616,2.009318014931592,p,Te,0.333333;0.666667;0.718546,0.1603798100532925
10061,mp-16802,Ba2Mo4P8O28,,,,,,,,,,,,,,,,,
10062,mp-16894,Cr7P6O24,0.7454000000000005,0.0,0.7562000000000002,0.8660254037844386,1.0,0.5,1.0,2.3495220664514416,d,Cr,0.38096;0.960288;0.609679,0.2488442501221714,1.4217880178413471,d,Cr,0.0;0.5;0.5,0.7305153183644769
10063,mp-16915,Ba4Ti4O4F16,3.344,0.0,3.3458,0.20833333,2.0,0.04166667,2.0,1.856573520263983,d,Ti,0.813164;0.75;0.823004,0.22746309660094266,2.4759377193300818,p,O,0.052906;0.0;0.25,0.18236020702074576
10064,mp-16992,Na4Ag12S8,0.9312,1.0,0.9312,0.0,1.0,0.0,1.0,3.86359313264727,p,S,0.388017;0.388017;0.388017,0.033597960190667096,3.269936078983973,p,S,0.41405;0.861983;0.861983,0.07317327737475406
10065,mp-16996,Li12Ga4Si4O20,,,,,,,,3.6974736298728175,s,Ga,0.499097;0.829043;0.300672,0.08050556035776336,2.87551735587538,p,O,0.602917;0.184257;0.514867,0.12317410209889268
10066,mp-17019,Ca4Y2As2W4O24,3.6919,0.0,3.692,0.649519052838329,2.0,0.0,1.0,3.109647132792732,d,W,0.425298;0.925298;0.5,0.15270948111709326,3.324705490814507,p,O,0.278836;0.232378;0.618655,0.05447180955250617
10067,mp-17160,Dy4Pt4F28,,,,,,,,2.9952644290302537,d,Pt,0.241223;0.727613;0.043004,0.15317362444079866,2.9281622632091278,d,Pt,0.758777;0.272387;0.956996,0.14134168216300405
10068,mp-17196,Ti4As8O28,,,,,,,,2.648531839444938,d,Ti,0.848095;0.789846;0.844676,0.1964308396184331,3.4992093003600298,p,O,0.772381;0.478287;0.423984,0.04505931442766548
10069,mp-17259,Na4Sr4Cr4F24,2.0585,0.0,2.0777,0.0,1.0,0.5,1.0,2.100084534220191,d,Cr,0.08186;0.231432;0.735758,0.22172339325282894,2.358909402816881,d,Cr,0.58186;0.768568;0.764242,0.20882840802761693
10070,mp-17283,K12Nb4Se16,,,,,,,,2.366397476287003,d,Nb,0.71313;0.986372;0.75,0.19814568812555866,3.0040778949125837,p,Se,0.335278;0.447618;0.926295,0.07102952509470642
10071,mp-17339,Ba5Ho8Mn4O21,0.5823,0.0,0.5898000000000003,0.5196152422706632,4.0,0.8660254037844386,1.0,2.995830955850398,d,Mn,0.960217;0.248847;0.209064,0.11589953441601605,2.7298822133982474,d,Mn,0.248847;0.039783;0.28863,0.21828640629730545
10072,mp-17364,Th4P8Ru8,,,,,,,,3.1232451888811434,d,Ru,0.25;0.867443;0.132222,0.08813319434576476,3.249447437507364,d,Ru,0.75;0.610196;0.049543,0.08707452717877291
10073,mp-17380,Ba4Ca2Pd6O12,1.4866,0.0,1.5899,0.8403220093427995,2.0,1.224744871391589,1.0,2.992724977851844,d,Pd,0.993534;0.31007;0.006466,0.0994966163982611,2.69282326562527,d,Pd,0.67466;0.32534;0.32534,0.15646361751490218
10074,mp-17446,Pr4Pt4F28,,,,,,,,2.9290323535966234,d,Pt,0.756718;0.273276;0.957522,0.15407753403285415,2.8858911188181624,d,Pt,0.243282;0.726724;0.042478,0.14530808152688654
