material_id,full_formula,icsd_ids,band_gap,spacegroup,pretty_formula
mp-804,Ga2N2,"[153890, 54698, 153891, 191773, 153889, 67769, 157512, 25676, 190424, 87830, 634715, 181358, 41481, 157398, 42000, 153887, 41543, 184926, 153888, 34476, 41483, 156259]",1.7375999999999996,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'P6_3mc', 'number': 186, 'point_group': '6mm', 'crystal_system': 'hexagonal', 'hall': 'P 6c -2c'}",GaN
mp-22205,In2N2,"[184927, 162684, 157515, 67768, 181366, 41999, 640026, 191774, 41544, 190428, 25677, 109463]",0.4777000000000005,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'P6_3mc', 'number': 186, 'point_group': '6mm', 'crystal_system': 'hexagonal', 'hall': 'P 6c -2c'}",InN
mp-27934,Cd2Br4,[25782],2.9397,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'P6_3mc', 'number': 186, 'point_group': '6mm', 'crystal_system': 'hexagonal', 'hall': 'P 6c -2c'}",CdBr2
mp-27786,Sb2As4Cl26,[26088],1.1842,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Cmc2_1', 'number': 36, 'point_group': 'mm2', 'crystal_system': 'orthorhombic', 'hall': 'C 2c -2'}",SbAs2Cl13
mp-402,Cd4P8,"[26199, 620214, 42732]",1.5290000000000001,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Pna2_1', 'number': 33, 'point_group': 'mm2', 'crystal_system': 'orthorhombic', 'hall': 'P 2c -2n'}",CdP2
mp-558769,Na6Li8Th12F62,"[26207, 26208]",6.3094,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'P3c1', 'number': 158, 'point_group': '3m', 'crystal_system': 'trigonal', 'hall': 'P 3 -2""c'}",Na3Li4Th6F31
mp-672346,Rb6V6I18,"[26455, 26456]",0.6301000000000001,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'P6_3cm', 'number': 185, 'point_group': '6mm', 'crystal_system': 'hexagonal', 'hall': 'P 6c -2'}",RbVI3
mp-569512,Sb4I4Cl32,[26509],1.5838,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'P4_1', 'number': 76, 'point_group': '4', 'crystal_system': 'tetragonal', 'hall': 'P 4w'}",SbICl8
mp-27935,Al2I2Cl12,[26510],2.2907,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'P2_1', 'number': 4, 'point_group': '2', 'crystal_system': 'monoclinic', 'hall': 'P 2yb'}",AlICl6
mp-1105105,I10N4,[26520],0.1619,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'P6_3mc', 'number': 186, 'point_group': '6mm', 'crystal_system': 'hexagonal', 'hall': 'P 6c -2c'}",I5N2
mp-27821,Ag3P11,[26563],1.0961,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Cm', 'number': 8, 'point_group': 'm', 'crystal_system': 'monoclinic', 'hall': 'C -2y'}",Ag3P11
mp-632326,H2Cl2,[27037],5.9709,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Cmc2_1', 'number': 36, 'point_group': 'mm2', 'crystal_system': 'orthorhombic', 'hall': 'C 2c -2'}",HCl
mp-632229,H2Br2,"[27055, 74307, 74306]",4.9445999999999986,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Cmc2_1', 'number': 36, 'point_group': 'mm2', 'crystal_system': 'orthorhombic', 'hall': 'C 2c -2'}",HBr
mp-334,La6F18,"[35673, 27089, 246323]",6.0222,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'P6_3cm', 'number': 185, 'point_group': '6mm', 'crystal_system': 'hexagonal', 'hall': 'P 6c -2'}",LaF3
mp-1202587,K4Ho8F28,[27196],6.9263,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Cm', 'number': 8, 'point_group': 'm', 'crystal_system': 'monoclinic', 'hall': 'C -2y'}",KHo2F7
mp-669326,Cd9I18,"[27269, 42175, 42219]",2.3857,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'P3m1', 'number': 156, 'point_group': '3m', 'crystal_system': 'trigonal', 'hall': 'P 3 -2""'}",CdI2
mp-669334,Cd15I30,"[27270, 42244, 42176]",2.3757,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'P3m1', 'number': 156, 'point_group': '3m', 'crystal_system': 'trigonal', 'hall': 'P 3 -2""'}",CdI2
mp-570613,Cd6I12,"[27291, 42199]",1.9793,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'P3m1', 'number': 156, 'point_group': '3m', 'crystal_system': 'trigonal', 'hall': 'P 3 -2""'}",CdI2
mp-571667,Cd13I26,[28383],2.4521,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'P3m1', 'number': 156, 'point_group': '3m', 'crystal_system': 'trigonal', 'hall': 'P 3 -2""'}",CdI2
mp-570448,Cd13I26,"[42238, 28384]",2.4105,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'P3m1', 'number': 156, 'point_group': '3m', 'crystal_system': 'trigonal', 'hall': 'P 3 -2""'}",CdI2
mp-696736,Rb1Be2F5,[28541],7.3020999999999985,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'P1', 'number': 1, 'point_group': '1', 'crystal_system': 'triclinic', 'hall': 'P 1'}",RbBe2F5
mp-707160,H4N4F8,[28893],1.5844,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'P1', 'number': 1, 'point_group': '1', 'crystal_system': 'triclinic', 'hall': 'P 1'}",HNF2
mp-1064952,Na1N3,"[29374, 29375, 29378, 29371, 29383, 29376, 29382, 29380, 29372, 29377, 29379, 29370, 29381, 29373]",4.0425,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Cm', 'number': 8, 'point_group': 'm', 'crystal_system': 'monoclinic', 'hall': 'C -2y'}",NaN3
mp-23292,Hg2Br4,"[39319, 30290, 36158]",2.8404,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Cmc2_1', 'number': 36, 'point_group': 'mm2', 'crystal_system': 'orthorhombic', 'hall': 'C 2c -2'}",HgBr2
mp-570136,Cu6I6,[30363],1.4615,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'P3m1', 'number': 156, 'point_group': '3m', 'crystal_system': 'trigonal', 'hall': 'P 3 -2""'}",CuI
