material_id,full_formula,icsd_ids,band_gap,spacegroup,pretty_formula
mp-2564,Sr1Mg1,"[104873, 642865]",0.0,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Pm-3m', 'number': 221, 'point_group': 'm-3m', 'crystal_system': 'cubic', 'hall': '-P 4 2 3'}",SrMg
mp-2572,Sr4Mg8,"[412684, 642866, 642860, 170245, 642864]",0.0,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'P6_3/mmc', 'number': 194, 'point_group': '6/mmm', 'crystal_system': 'hexagonal', 'hall': '-P 6c 2c'}",SrMg2
mp-2574,Zr2O4,"[291452, 66789, 93031, 92093, 92091, 157621, 68589, 248447, 66783, 93029, 93124, 68781, 93125, 164736, 93123, 93126, 66784, 23928, 66781, 92090, 180936, 157618, 93028, 655671, 164862, 647692, 186673, 185124, 66782, 93033, 66788, 237007, 9993, 157620, 157619, 94931, 66785, 51051, 66786, 93032, 66787, 88022, 248448, 97004, 93030, 85322, 173961, 92092]",3.889,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'P4_2/nmc', 'number': 137, 'point_group': '4/mmm', 'crystal_system': 'tetragonal', 'hall': 'P 4n 2n -1n'}",ZrO2
mp-2576,Sr8Ge4,"[90772, 53923]",0.3746999999999998,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Pnma', 'number': 62, 'point_group': 'mmm', 'crystal_system': 'orthorhombic', 'hall': '-P 2ac 2n'}",Sr2Ge
mp-2578,Ni1Te2,"[646914, 159382, 42559, 43293, 646892, 646903]",0.0,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'P-3m1', 'number': 164, 'point_group': '-3m', 'crystal_system': 'trigonal', 'hall': '-P 3 2""'}",NiTe2
mp-2582,Ti2Si4,"[1089, 30217, 652421, 96029, 652412, 168419]",0.0,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Fddd', 'number': 70, 'point_group': 'mmm', 'crystal_system': 'orthorhombic', 'hall': 'F 2 2 -1d'}",TiSi2
mp-2589,Mg4O8,"[41732, 35479]",3.8015,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Pa-3', 'number': 205, 'point_group': 'm-3', 'crystal_system': 'cubic', 'hall': '-P 2ac 2ab 3'}",MgO2
mp-2591,Ti12O4,[24082],0.0,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'P-31c', 'number': 163, 'point_group': '-3m', 'crystal_system': 'trigonal', 'hall': '-P 3 2c'}",Ti3O
mp-2592,Si2Mo1,"[644411, 71500, 73598, 96023, 644425, 644400, 168744, 26868, 644420, 105092, 182115, 644422, 85756, 191611]",0.0,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'I4/mmm', 'number': 139, 'point_group': '4/mmm', 'crystal_system': 'tetragonal', 'hall': '-I 4 2'}",Si2Mo
mp-2600,Ba1Te1,"[108097, 616162, 616164]",1.7263000000000002,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Pm-3m', 'number': 221, 'point_group': 'm-3m', 'crystal_system': 'cubic', 'hall': '-P 4 2 3'}",BaTe
mp-2604,Mg4Te8,"[41733, 642881, 30390]",1.5091999999999999,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Pa-3', 'number': 205, 'point_group': 'm-3', 'crystal_system': 'cubic', 'hall': '-P 2ac 2ab 3'}",MgTe2
mp-2605,Ca1O1,"[60199, 52783, 60704, 619461, 61550, 180198, 26959, 90486, 261847, 51409, 75786, 163628, 75785, 28905]",3.6919,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Fm-3m', 'number': 225, 'point_group': 'm-3m', 'crystal_system': 'cubic', 'hall': '-F 4 2 3'}",CaO
mp-2606,Ba1Pd5,"[58672, 616030]",0.0,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'P6/mmm', 'number': 191, 'point_group': '6/mmm', 'crystal_system': 'hexagonal', 'hall': '-P 6 2'}",BaPd5
mp-2611,Ba2Ge4,"[100129, 14096]",0.0,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'I4_1/amd', 'number': 141, 'point_group': '4/mmm', 'crystal_system': 'tetragonal', 'hall': 'I 4bw 2bw -1bw'}",BaGe2
mp-2612,Ge1Te1,"[600823, 638007, 602124, 56037, 638011, 638010, 190913, 659811, 601079]",0.6197999999999997,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Fm-3m', 'number': 225, 'point_group': 'm-3m', 'crystal_system': 'cubic', 'hall': '-F 4 2 3'}",GeTe
mp-2630,Sr1C2,"[91050, 410317, 618815, 91048, 618813, 410316]",1.7673999999999999,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'I4/mmm', 'number': 139, 'point_group': '4/mmm', 'crystal_system': 'tetragonal', 'hall': '-I 4 2'}",SrC2
mp-2633,Ge4O8,"[94241, 281601]",1.4677999999999995,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Pa-3', 'number': 205, 'point_group': 'm-3', 'crystal_system': 'cubic', 'hall': '-P 2ac 2ab 3'}",GeO2
