Band gap,Band gap-units,Band gap-conditions,Band gap-methods,Band gap-dataType,Band gap energy (E$_g^{expt}$),Band gap energy (E$_g^{expt}$)-units,Band gap energy (E$_g^{expt}$)-dataType,Band gap energy (E$_g^{GW}$),Band gap energy (E$_g^{GW}$)-units,Band gap energy (E$_g^{GW}$)-methods,Band gap energy (E$_g^{DFT+U}$),Band gap energy (E$_g^{DFT+U}$)-units,Band gap energy (E$_g^{DFT+U}$)-methods,chemicalFormula,references,Crystallinity,Structure,Crystal structure
5.493,eV,"[{'name': 'Transition', 'scalars': [{'value': 'Excitonic'}]}, {'name': 'Temperature', 'scalars': [{'value': '90'}], 'units': 'K'}]",{'name': 'Photoconduction'},EXPERIMENTAL,,,,,,,,,,C,[{'doi': '10.1063/1.3253115'}],Single crystalline,,
2.59,eV,"[{'name': 'Transition', 'scalars': [{'value': 'Direct'}]}, {'name': 'Temperature', 'scalars': [{'value': '293'}], 'units': 'K'}]",{'name': 'Electroreflection'},EXPERIMENTAL,,,,,,,,,,Cu2O1,[{'doi': '10.1063/1.3253115'}],,,
2.13,eV,"{'name': 'Temperature', 'scalars': [{'value': '298'}], 'units': 'K'}",{'name': 'Reflection'},EXPERIMENTAL,,,,,,,,,,Hg1I2,[{'doi': '10.1063/1.3253115'}],Single crystalline,,
2.2,eV,"[{'name': 'Transition', 'scalars': [{'value': 'Indirect'}]}, {'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}]",{'name': 'Absorption'},EXPERIMENTAL,,,,,,,,,,Al1As1,[{'doi': '10.1063/1.3253115'}],Polycrystalline,,
1.62,eV,"{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}",{'name': 'Thermal activation'},EXPERIMENTAL,,,,,,,,,,Ce2Se3,[{'doi': '10.1063/1.3253115'}],Polycrystalline,,
1.84,eV,"{'name': 'Temperature', 'scalars': [{'value': '513'}], 'units': 'K'}",{'name': 'Thermal activation'},EXPERIMENTAL,,,,,,,,,,Eu2O3,[{'doi': '10.1063/1.3253115'}],Polycrystalline,,
8.5,eV,"[{'name': 'Transition', 'scalars': [{'value': 'G8 to G6+'}]}, {'name': 'Transition', 'scalars': [{'value': 'Direct'}]}, {'name': 'Temperature', 'scalars': [{'value': '10'}], 'units': 'K'}]",{'name': 'Absorption'},EXPERIMENTAL,,,,,,,,,,Rb1Cl1,[{'doi': '10.1063/1.3253115'}],Single crystalline,,
3.23,eV,"{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}",{'name': 'Absorption'},EXPERIMENTAL,,,,,,,,,,Pb1Br2,[{'doi': '10.1063/1.3253115'}],Polycrystalline,,
2.29,eV,"{'name': 'Temperature', 'scalars': [{'value': '110'}], 'units': 'K'}",,EXPERIMENTAL,,,,,,,,,,Zn1Te1,[{'doi': '10.1063/1.3253115'}],Single crystalline,,
1.79,eV,"{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}",{'name': 'Absorption'},EXPERIMENTAL,,,,,,,,,,Ho1N1,[{'doi': '10.1063/1.3253115'}],Polycrystalline,,
