,jarvis_bg_tbmbj,jarvis_bg_opt,jarvis_spillage
587,,4.2809,
588,6.8375,4.9609,
589,5.3764,4.1227,
590,,,
591,,4.1992,
592,,,
593,5.0513,3.7401,
594,,,
595,,,
596,,,
597,,0.1605,0.116
598,,1.3371,
599,,7.1989,
600,,,
601,2.5829,2.4963,
602,,4.9632,
603,,0.2629,0.024
604,,,
605,,4.0653,
606,,,
607,3.5113,1.8136,
608,5.3319,4.0592,
609,,,
610,10.6421,7.682,
611,,,
612,,,
613,,3.3943,
614,5.8526,4.1107,
615,,,
616,,,
617,,,
618,1.1109,0.3145,0.11
619,,5.6526,
620,,,
621,,,
622,2.2698,1.4981,
623,,,
624,,1.7529,
625,,,
626,,,
627,,5.0226,
628,,8.3499,
629,,,
630,,4.0188,
631,,,
632,,,
633,,,
634,,,
635,,,
636,,5.6345,
637,,,
638,,,
639,7.2393,6.0322,
640,1.2973,0.8687,
641,,,
642,,,
643,,2.5975,
644,,,
645,7.3366,5.27,
646,,1.2182,
647,,,
648,,7.6182,
649,,1.7854,
650,,1.5528,
651,,,
652,,,
653,,0.5202,
654,4.9342,3.3123,
655,3.1798,2.4661,
656,,,
657,3.3263,2.2284,
658,7.4826,5.6579,
659,,1.3232,
660,,,
661,,,
662,,,
663,,5.9113,
664,6.5079,5.2315,
665,2.5482,2.4683,
666,,2.9751,
667,2.1842,1.2331,
668,,6.8437,
669,,,
670,2.206,1.7098,
671,,3.7668,
672,,,
673,1.6455,0.4825,0.006
674,,2.3751,
675,,,
676,,,
677,,2.3601,
678,,8.1495,
679,4.3508,2.6177,
680,,,
681,,,
682,0.6258,0.4474,1.835
683,,2.4137,
684,5.7170000000000005,4.1711,
685,,,
686,,3.339,
687,,,
688,,,
689,,0.8116,
690,,,
691,,,
692,,2.0641,
693,,,
694,5.313,4.0472,
695,,,
696,1.1968,1.1799,
697,,,
698,,,
699,,,
700,4.0159,3.5152,
701,2.7232,1.3178,
702,,7.4017,
703,,2.9105,
704,,3.1796,
705,,,
706,,,
707,,,
708,,,
709,,,
710,,4.0176,
711,2.4034,1.4123,
712,,2.1116,
713,,,
714,1.0068,0.6716,0.011
715,,,
716,2.8203,2.5546,
717,,,
718,6.59,4.0561,
719,,,
720,,,
721,3.8412,3.2504,
722,,2.9026,
723,,,
724,,,
725,,,
726,,,
727,,5.3778,
728,,,
729,,,
730,,,
731,,,
732,5.6657,0.828,
733,,,
734,,,
735,,2.6701,
736,,,
737,,2.323,
738,4.2334,3.6135,
739,5.2151,3.2819,
740,3.3961,2.4144,
741,,,
742,,1.1803,
743,,4.4608,
744,1.7199,1.2459,
745,,1.5802,
746,,,
747,,,
748,,,
749,,,
750,5.1476,4.0472,
751,,1.0755,
752,,7.5248,
753,,1.8812,
754,,1.7271,
755,,,
756,,1.5255,
757,,2.385,
758,8.3331,5.9527,
759,,,
760,2.3664,2.3389,
761,,,
762,7.007000000000001,4.2688,
763,4.1984,3.3868,
764,5.0177,4.7,
765,,,
766,,,
767,,,
768,,4.8379,
769,,4.9074,
770,0.8847,0.8599,
771,2.3752,1.3288,
772,5.1976,3.1975,
773,,,
